name,total_price_in_state,total_price_out_of_state,percent_admitted,yield,total_applicants,act_low,act_high,act_range,city,state,zip,address,longitude,latitude,affiliation,six_year_grad_rate,total_enrollment,website,phone_number,financial_aid_address,admissions_address,application_address,net_price_calculator,average_price_after_financial_aid,average_price_if_less_than_30000,average_price_if_less_than_48000,average_price_if_less_than_75000,average_price_if_less_than_110000,average_price_if_greater_than_110000,ncaa_membership,football_team?,basketball_team?,baseball_team?,cross_country_team?
Bridgewater State University,24203,30343,79,33,5799,19,24,19 - 24,Bridgewater,MA,2325,131 Summer Street,-70.966058,41.987785,public,54,11187,www.bridgew.edu,5085311000,www.bridgew.edu/admissions/financial-aid,www.bridgew.edu/admissions,www.bridgew.edu/admissions/undergraduate/apply,microsites.bridgew.edu/financialaid/net-price-calculator,,,,,,,Yes,Yes,Yes,Yes,Yes
Brigham Young University-Hawaii,17304,17304,35,54,2811,22,27,22 - 27,Laie,HI,96762-1294,55-220 Kulanui Street,-157.925358,21.641172,private_non_profit,48,2787,www.byuh.edu/,8086753211,financialaid.byuh.edu/,admissions.byuh.edu/,www.besmart.com/,financialaid.byuh.edu/net_price_calculator,11948,9010,9640,12169,14396,14241,Yes,No,Yes,No,Yes
Brigham Young University-Idaho,12798,12798,100,50,7084,20,25,20 - 25,Rexburg,ID,83460-1690,525 S Center,-111.784728,43.815384,private_non_profit,52,36624,www.byui.edu,2084961411,www.byui.edu/FinancialAid/,www.byui.edu/Admissions/,www.byui.edu/Admissions/,www.byui.edu/FinancialAid/,7968,5374,6153,8107,10211,10670,No,No,No,No,No
Brigham Young University-Provo,17718,17718,47,78,11078,27,31,27 - 31,Provo,UT,84602,Main Campus,-111.649281,40.250851,private_non_profit,77,30484,www.byu.edu,8014224636,saas.byu.edu/financialAid/,saas.byu.edu/tools/b4byu/sites/b4/,besmart.com/Admissions,https://financialaid.byu.edu/net-price-calculator,12335,9083,10391,12564,15695,16300,Yes,Yes,Yes,Yes,Yes
Bristol University,,,,,, , , - ,Anaheim,CA,92806-6198,2390 E. Orangewood Ave.  Suite 485,-117.882331,33.79556,private_for_profit,,62,www.bristoluniversity.edu,7145428086,www.bristoluniversity.edu,www.bristoluniversity.edu,www.bristoluniversity.edu,https://bristoluniversity.edu/?s=net+price+calculator,18797,18797,,,,,No,No,No,No,No
Brooks Institute,,,99,21,341, , , - ,Ventura,CA,93001,5301 N. Ventura Ave,-119.295231,34.33851,private_for_profit,46,437,www.brooks.edu,8055858000,,,,brooks.studentaidcalculator.com,27288,26111,28361,29575,32323,32323,No,No,No,No,No
Brown University,65380,65380,9,59,30431,30,34,30 - 34,Providence,RI,2912,One Prospect Street,-71.404467,41.827605,private_non_profit,95,9181,www.brown.edu,4018631000,www.brown.edu/about/administration/financial-aid/,www.brown.edu/admission/undergraduate/,https://www.commonapp.org,https://npc.collegeboard.org/student/app/brown,21193,3186,7129,10700,22282,42007,Yes,Yes,Yes,Yes,Yes
Bryan College of Health Sciences,,,57,75,89,21,24,21 - 24,Lincoln,NE,68506-1299,5035 Everett,-96.651532,40.796768,private_non_profit,,691,www.bryanhealthcollege.edu/bcohs/,4024813801,www.bryanhealthcollege.edu/bcohs/admission/tuition-financial-aid-scholarships/,www.bryanhealthcollege.edu/bcohs/admission/,,www.bryanhealthcollege.edu/bcohs/admission/tuition-financial-aid-scholarships/,18408,16625,19223,21646,22819,21803,No,No,No,No,No
Bryan College-Dayton,34020,34020,48,51,760,20,26,20 - 26,Dayton,TN,37321,721 Bryan Drive,-85.016596,35.495721,private_non_profit,49,1599,www.bryan.edu,4237752041,www.bryan.edu/financial-aid,www.bryan.edu/admissions,https://apply.bryan.edu/,www.bryan.edu/aid-estimator,15680,10997,11935,17827,18361,19987,No,No,Yes,Yes,Yes
Bryant University,57061,57061,75,18,6227, , , - ,Smithfield,RI,02917-1291,1150 Douglas Pike,-71.539147,41.920149,private_non_profit,80,3462,www.bryant.edu,4012326000,www.bryant.edu/admissions/cost-and-financial-aid/,www.bryant.edu/admissions/,www.bryant.edu/admissions/undergraduate-admissions/,www.bryant.edu/admissions/cost-and-financial-aid/,35006,30535,29117,31939,36042,47969,Yes,Yes,Yes,Yes,Yes
Bryn Athyn College of the New Church,32305,32305,58,39,374,15,24,15 - 24,Bryn Athyn,PA,19009-0717,801 Tomlinson Rd,-75.06093,40.131358,private_non_profit,42,281,www.brynathyn.edu,2675026000,www.brynathyn.edu/admissions/finance,www.brynathyn.edu/admissions,https://app.applyyourself.com/AYApplicantLogin/fl_ApplicantConnectLogin.asp?id=brynathyn,www.brynathyn.edu/admissions/finance/aid/calculator.html,14154,7359,7213,13609,21805,25979,Yes,No,Yes,No,Yes
Bryn Mawr College,63990,63990,40,32,2706,27,31,27 - 31,Bryn Mawr,PA,19010,101 N Merion Avenue,-75.314988,40.028541,private_non_profit,82,1709,www.brynmawr.edu,6105265000,www.brynmawr.edu/sfs/,www.brynmawr.edu/admissions/,www.brynmawr.edu/admissions/apply/,npc.collegeboard.org/student/app/brynmawr,32285,12892,11581,18649,26616,39125,Yes,No,Yes,No,Yes
Bucknell University,65268,65268,31,39,7864,28,32,28 - 32,Lewisburg,PA,17837,One Dent Drive,-76.886275,40.954489,private_non_profit,90,3624,www.bucknell.edu,5705772000,www.bucknell.edu/x21246.xml,www.bucknell.edu/x68.xml,https://www.commonapp.org/,npc.collegeboard.org/student/app/bucknell,33127,18794,20248,23666,29983,43384,Yes,Yes,Yes,Yes,Yes
Buena Vista University,43591,43591,68,24,1227,20,25,20 - 25,Storm Lake,IA,50588,610 W 4th St,-95.208053,42.642529,private_non_profit,51,2295,www.bvu.edu,7127492400,www.bvu.edu/financialassistance/,www.bvu.edu/admissions/,www.bvu.edu/apply/,www.bvu.edu/calculator/,19264,15926,15267,17379,22135,23819,Yes,Yes,Yes,Yes,Yes
Burlington College,37961,37961,78,22,236, , , - ,Burlington,VT,5401,351 North Ave,-73.228261,44.49116,private_non_profit,23,224,www.burlington.edu,8028629616,https://burlington.edu/admissions/financial-information/financial-aid-and-scholarships/,https://burlington.edu/admissions/students/prospective-students,burlington.edu/admissions/students/how-to-apply/,burlington.edu/content/net-price-calculator,24872,21691,18840,24361,29829,31048,No,No,No,No,No
Butler University,52615,52615,68,14,10103,25,29,25 - 29,Indianapolis,IN,46208,4600 Sunset Ave,-86.171791,39.840662,private_non_profit,73,4848,www.butler.edu,3179408000,go.butler.edu/about-admission/financial-costs,go.butler.edu/about-admission/,go.butler.edu/about-admission/apply,legacy.butler.edu/financial-aid/net-price-calculator/,32742,23902,26149,28164,31028,35091,Yes,Yes,Yes,Yes,Yes
Cabrini College,45548,45548,75,24,2257,18,22,18 - 22,Radnor,PA,19087-3698,610 King of Prussia Rd,-75.37215,40.054565,private_non_profit,48,2203,www.cabrini.edu,6109028100,www.cabrini.edu/Admissions/Financial-Aid.aspx,www.cabrini.edu/admissions,www.cabrini.edu/Admissions/How-to-Apply,www.cabrini.edu/Admissions/Financial-Aid/Cost-of-Attendance/Net-Price-Calculator,26697,21494,23444,24040,27041,30137,Yes,No,Yes,No,Yes
Cairn University-Langhorne,36200,36200,98,51,318,18,25,18 - 25,Langhorne,PA,19047-2990,200 Manor Ave,-74.909509,40.165809,private_non_profit,63,1058,www.cairn.edu,2157525800,www.cairn.edu/financialaid/,www.cairn.edu/admissions/,www.cairn.edu/apply/,cairn.edu/admissions/undergrad/aid/#calculator,18358,13049,15068,15592,20738,23137,Yes,No,Yes,Yes,Yes
Caldwell University,47240,47240,64,18,3149,17,23,17 - 23,Caldwell,NJ,07006-6195,120 Bloomfield Avenue,-74.273697,40.834285,private_non_profit,51,2184,www.caldwell.edu,9736183000,www.caldwell.edu/financial_aid/,www.caldwell.edu/admissions/,www.caldwell.edu/applynow/,www.caldwell.edu/financial-aid/netprice,17834,15850,14593,18014,21576,13580,Yes,No,Yes,Yes,Yes
California Baptist University,43384,43384,80,33,4211,18,24,18 - 24,Riverside,CA,92504-3297,8432 Magnolia Ave,-117.42587,33.928569,private_non_profit,59,7957,www.calbaptist.edu,9516895771,www.calbaptist.edu/admissions/financial-aid/,www.calbaptist.edu/admissions,www.calbaptist.edu/admissions/,https://calbaptist.studentaidcalculator.com/welcome.aspx,25752,22748,25551,27164,30725,34722,Yes,No,Yes,Yes,Yes
California Christian College,18669,18669,,,0, , , - ,Fresno,CA,93727,5364 E. Belmont Avenue,-119.711208,36.75031,private_non_profit,0,20,www.calchristiancollege.edu,5592514215,www.calchristiancollege.edu/financial-aid,www.calchristiancollege.edu/admissions,www.calchristiancollege.edu/admissions,www.calchristiancollege.edu/financial-aid/net-price-calculator/,18360,18360,,,,,No,No,No,No,No
California College of the Arts,60558,60558,64,21,2005, , , - ,San Francisco,CA,94107-2247,1111 Eighth Street,-122.399941,37.76723,private_non_profit,45,1998,www.cca.edu,5105943600,www.cca.edu/students/financialaid,www.cca.edu/admissions,www.cca.edu/admissions/apply,www.cca.edu/admissions/financialaid/calculator,33763,23870,25394,29893,34336,39387,No,No,No,No,No
California Institute of Integral Studies,,,,,, , , - ,San Francisco,CA,94103,1453 Mission Street,-122.416537,37.774768,private_non_profit,,1251,www.ciis.edu,4155756100,www.ciis.edu/Admissions_and_Financial_Aid/Financial_Aid.html,www.ciis.edu/admissions/,www.ciis.edu/Admissions_and_Financial_Aid/Applying_to_CIIS.html,https://my.ciis.edu/ICS/Financial_Aid/Budget_Calculator.jnz,,,,,,,No,No,No,No,No
California Institute of Technology,63471,63471,9,39,6525,34,35,34 - 35,Pasadena,CA,91125,1200 E California Blvd,-118.12574,34.139275,private_non_profit,92,2209,www.caltech.edu,6263956811,www.finaid.caltech.edu/,www.admissions.caltech.edu/,www.admissions.caltech.edu/content/apply,www.finaid.caltech.edu/,26910,6696,4340,9263,20077,38799,Yes,No,Yes,Yes,Yes
California Institute of the Arts,65686,65686,24,35,2162, , , - ,Valencia,CA,91355-2397,24700 W McBean Pky,-118.567303,34.393337,private_non_profit,55,1471,www.calarts.edu,6612551050,calarts.edu/financial-aid,calarts.edu/prospective,calarts.edu/admissions/apply-calarts,calarts.edu/financial-aid/net-price-calculator,43457,38518,43558,45865,46035,50709,No,No,No,No,No
California Intercontinental University,,,,,, , , - ,Irvine,CA,92614-5636,17310 Red Hill Ave. Suite 200,-117.851648,33.696996,private_for_profit,,,www.caluniversity.edu,9493590045,www.caluniversity.edu/admissions-and-aid/tuition-and-fees/,www.caluniversity.edu/admissions-and-aid/admissions-criteria/#,https://myportal.caluniversity.edu/Applicant/ApplyOnline_Login.aspx#sthash.Fev8dw6y.dpuf,www.caluniversity.edu/assets/financial_aid/net_price_calculator/,,,,,,,No,No,No,No,No
California International Business University,,,,,, , , - ,San Diego,CA,92101,520 W Ash Street Ste 300,-117.167671,32.72017,private_non_profit,,,www.cibu.edu,6197029400,www.cibu.edu/admissions/scholarship/,www.cibu.edu/admissions/,www.cibu.edu/admissions/application/,www.cibu.edu/admissions/tuition-fees/,,,,,,,No,No,No,No,No
California Jazz Conservatory,,,,,, , , - ,Berkeley,CA,94704-1268,2087 Addison Street,-122.268698,37.871144,private_non_profit,,,www.cjc.edu,5108455373,,,,www.cjc.edu,,,,,,,No,No,No,No,No
California Lutheran University,56211,56211,61,14,6490,22,27,22 - 27,Thousand Oaks,CA,91360-2787,60 W Olsen Rd,-118.879467,34.225551,private_non_profit,60,4160,www.callutheran.edu/,8054922411,www.callutheran.edu/financial-aid/,www.callutheran.edu/admission/,www.callutheran.edu/admission/,https://www.callutheran.edu/financial-aid/tuition-fees/net-price-calculator.html,29614,21751,21978,22850,28553,34260,Yes,Yes,Yes,Yes,Yes
California Miramar University,,,,,, , , - ,San Diego,CA,92108,3550 Camino Del Rio North  Suite 208,-117.118211,32.77931,private_for_profit,,324,www.calmu.edu,8.58653E+11,www.calmu.edu/main-navigation/admissions/financial_aid.html,www.calmu.edu/main-navigation/admissions/admissions-process.html,cmu.orbund.com/varsity/custom/cmu/online_application_form.jsp,https://www.calmu.edu/main-navigation/admissions/financial_aid.html,,,,,,,No,No,No,No,No
California Polytechnic State University-San Luis Obispo,25414,36574,31,34,43812,25,30,25 - 30,San Luis Obispo,CA,93407,1 Grand Ave.,-120.65856,35.29889,public,72,20186,calpoly.edu,8057561111,financialaid.calpoly.edu/,admissions.calpoly.edu/,www.csumentor.edu/AdmissionApp/,www.csumentor.edu/finaid/pais/,,,,,,,Yes,Yes,Yes,Yes,Yes
California State Polytechnic University-Pomona,26196,37356,52,21,32803,20,27,20 - 27,Pomona,CA,91768,3801 West Temple Avenue,-117.819019,34.054273,public,51,23966,www.cpp.edu,9098697659,www.cpp.edu/financial-aid/,www.cpp.edu/admissions/,www.csumentor.edu/,www.csumentor.edu/finaid/pais/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-Bakersfield,24004,35164,71,26,7662, , , - ,Bakersfield,CA,93311-1099,9001 Stockdale Hwy,-119.104711,35.350005,public,39,8720,www.csub.edu,6616542782,www.csub.edu/FinAid/,www.csub.edu/Admissions/,www.csumentor.com/,www.csumentor.edu/finaid/pais/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-Channel Islands,26037,37197,72,15,9002, , , - ,Camarillo,CA,93012,One University Dr,-119.04356,34.162949,public,51,5879,www.csuci.edu,8054378400,www.csuci.edu/financialaid/index.htm,www.csuci.edu/admissions/index.htm,www.csumentor.edu/,www.csuci.edu/financialaid/Cost_of_Attendance.htm,,,,,,,No,No,No,No,No
California State University-Chico,23496,34656,71,19,21495,19,24,19 - 24,Chico,CA,95929-0150,First and Normal Sts,-121.846333,39.728003,public,57,17287,www.csuchico.edu,5308986116,www.csuchico.edu/fa/,www.csuchico.edu/admissions/,www.csumentor.edu/AdmissionApp/undergrad_apply.asp,https://secure.csumentor.edu/FinAid/pais/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-Dominguez Hills,23015,34175,42,20,15802, , , - ,Carson,CA,90747-0005,1000 E Victoria St,-118.259316,33.86524,public,28,14687,www.csudh.edu,3102433300,www.csudh.edu/studentaffairs/financialaid/,www.csudh.edu/StudentAffairs/admissionsrecords/,www.csumentor.edu/AdmissionApp/,www.csumentor.edu/finaid/pais/,,,,,,,Yes,No,Yes,Yes,No
California State University-East Bay,23487,34647,70,15,14182, , , - ,Hayward,CA,94542,25800 Carlos Bee Blvd,-122.058073,37.65707,public,41,14823,www.csueastbay.edu,5108853000,www20.csueastbay.edu/prospective/cost-and-financial-aid/index.html,www20.csueastbay.edu/prospective/,www.csumentor.edu/,www20.csueastbay.edu/prospective/cost-and-financial-aid/cost-of-attendance/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-Fresno,19493,30653,59,31,18964,16,22,16 - 22,Fresno,CA,93740,5241 N Maple Ave,-119.748258,36.814477,public,48,23179,www.csufresno.edu,5592784240,,,,www.collegeportraits.org/CA/CSUFRESNO/costs,,,,,,,Yes,Yes,Yes,Yes,Yes
California State University-Fullerton,25643,36803,44,24,40955,19,24,19 - 24,Fullerton,CA,92831-3599,800 N State College Blvd,-117.885349,33.883627,public,51,38128,www.fullerton.edu,6572782011,www.fullerton.edu/financialaid/,www.fullerton.edu/admissions.aspx,www.csumentor.edu/,www.csumentor.edu/finaid/pais/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-Long Beach,22964,34124,35,21,57322,20,25,20 - 25,Long Beach,CA,90840-0115,1250 Bellflower Blvd,-118.1123,33.782752,public,57,36809,www.csulb.edu,5629854111,www.csulb.edu/depts/enrollment/financial_aid/types_aid.html,www.csulb.edu/student-info/admissions.html,www.csumentor.edu/AdmissionApp/,www.csumentor.edu/finaid/pais/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-Los Angeles,23821,34981,61,17,31013,15,20,15 - 20,Los Angeles,CA,90032,5151 State University Dr,-118.168965,34.066927,public,37,24488,www.calstatela.edu,3233433000,www.calstatela.edu/univ/finaid/,www.calstatela.edu/univ/admiss/,www.csumentor.edu/,www.csumentor.edu/finaid/pais/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-Monterey Bay,20219,31379,69,13,14684, , , - ,Seaside,CA,93955-8001,100 Campus Center,-121.799216,36.653724,public,37,6631,www.csumb.edu,8315823000,financialaid.csumb.edu/financial-aid-home,admissions.csumb.edu/admissions-home,www.csumentor.edu/AdmissionApp,www.csumentor.edu/finaid/pais/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-Northridge,21163,32323,53,31,33386,16,22,16 - 22,Northridge,CA,91330,18111 Nordhoff St,-118.526817,34.23671,public,48,40131,www.csun.edu,8186771200,www.csun.edu/financialaid/,www.csun.edu/admissions-records/,https://secure.csumentor.edu/AdmissionApp/,https://secure.csumentor.edu/finaid/pais/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-Sacramento,24352,35512,73,24,21550,17,22,17 - 22,Sacramento,CA,95819-2694,6000 J St,-121.42194,38.55745,public,41,29349,www.csus.edu,9162786011,www.csus.edu/faid/,www.csus.edu/admissions/,www.csumentor.edu/AdmissionApp/,www.csumentor.edu/finaid/pais/,,,,,,,Yes,Yes,Yes,Yes,Yes
California State University-San Bernardino,20104,31264,84,25,12955,16,20,16 - 20,San Bernardino,CA,92407-2397,5500 University Pky,-117.322508,34.182987,public,44,18952,www.csusb.edu,9095375000,finaid.csusb.edu/,admissions.csusb.edu/,www.csumentor.edu/,www.csumentor.edu/FinAid/pais/,,,,,,,Yes,No,Yes,Yes,Yes
California State University-San Marcos,24527,35687,62,27,12838,17,22,17 - 22,San Marcos,CA,92096-0001,333 S Twin Oaks Valley Rd,-117.158013,33.129115,public,45,12154,www.csusm.edu,7607504000,csusm.edu/finaid/,www.csusm.edu/admissions/,,www.csumentor.edu/finaid/pais/,,,,,,,No,No,Yes,Yes,Yes
California State University-Stanislaus,20364,31524,73,27,6269, , , - ,Turlock,CA,95382-0299,One University Circle,-120.852511,37.52577,public,49,9045,www.csustan.edu,2096673122,www.csustan.edu/financial-aid-scholarships,www.csustan.edu/admissions,www.csumentor.edu/,www.csumentor.edu/FinAid/PAIS/,,,,,,,Yes,No,Yes,Yes,Yes
California University of Management and Sciences,,,,,, , , - ,Anaheim,CA,92801,721 N Euclid St,-117.942011,33.84201,private_non_profit,,592,www.calums.edu,7145333946,www.calums.edu,www.calums.edu,www.calums.edu/web2/an/29c_online_application.htm,www.calums.edu,20504,20504,,,,,No,No,No,No,No
California University of Pennsylvania,25442,29575,90,37,3069,17,22,17 - 22,California,PA,15419-1394,250 University Ave,-79.884477,40.066473,public,54,7978,www.calu.edu,7249384400,www.calu.edu/prospective/undergraduate-admissions/financial-aid/index.htm,www.calu.edu/prospective/undergraduate-admissions/index.htm,www.calu.edu/prospective/undergraduate-admissions/how-to-apply/index.htm,www.collegeportraits.org/PA/Cal-U/estimator/agree,,,,,,,Yes,Yes,Yes,Yes,Yes
Calumet College of Saint Joseph,,,34,70,524, , , - ,Whiting,IN,46394,2400 New York Ave,-87.492987,41.670925,private_non_profit,29,1072,www.ccsj.edu,2194737770,www.ccsj.edu/financialaid/index.html,www.ccsj.edu/admissions/index.html,www.ccsj.edu/admissions/index.html,https://ccsj.collegecosts.com/Estimator/Agreement,11790,8886,11224,11146,16456,11627,No,No,Yes,Yes,Yes
Calvary Bible College and Theological Seminary,18576,18576,100,79,48,19,24,19 - 24,Kansas City,MO,64147-1341,15800 Calvary Road,-94.546238,38.838169,private_non_profit,44,314,www.calvary.edu,8163220110,www.calvary.edu/college/financial-aid/,www.calvary.edu/college/admissions-and-financial-aid/,calvaryedu.wufoo.com/forms/calvary-bible-college-online-application/,www.calvary.edu/college/financial-aid/federal-aid-programs/net-price-calculator/,13657,12205,11266,12607,,11086,No,No,No,No,No
Calvin College,44050,44050,73,35,3679,23,29,23 - 29,Grand Rapids,MI,49546,3201 Burton Street SE,-85.587548,42.929916,private_non_profit,77,3993,www.calvin.edu,6165266000,www.calvin.edu/finaid/,www.calvin.edu/admissions/,www.calvin.edu/apply/,https://calvin.studentaidcalculator.com/survey.aspx,25994,15867,18910,22002,26194,29535,Yes,No,Yes,Yes,Yes
Cambridge College,,,,,, , , - ,Cambridge,MA,2138,1000 Massachusetts Avenue,-71.11084,42.369193,private_non_profit,0,2841,www.cambridgecollege.edu,6178681000,www.cambridgecollege.edu/financial-aid,www.cambridgecollege.edu/admissions-0,www.cambridgecollege.edu/form/cambridge-college-online-application,cambridgecollege.edu/net-price-calculator/,20176,19176,24440,24440,24440,24440,No,No,No,No,No
Cameron University,14904,23514,,,, , , - ,Lawton,OK,73505-6377,2800 West Gore Blvd,-98.434163,34.606487,public,19,5537,www.cameron.edu,5805812200,www.cameron.edu/financial_aid,www.cameron.edu/admissions,getstarted.cameron.edu,www.cameron.edu/costcalculator,,,,,,,Yes,No,Yes,Yes,Yes
Campbell University,44470,44470,68,19,6770,17,27,17 - 27,Buies Creek,NC,27506,450 Leslie Campbell Ave,-78.739508,35.409333,private_non_profit,51,6101,www.campbell.edu,9.10893E+13,www.campbell.edu/admissions/financialaid/,www.campbell.edu/admissions/,www.campbell.edu/admissions/apply/,www.campbellcalculator.com,26865,20812,22132,23921,26789,28697,Yes,Yes,Yes,Yes,Yes
Campbellsville University,36172,36172,73,27,2672,18,23,18 - 23,Campbellsville,KY,42718-2799,1 University Dr,-85.348943,37.343342,private_non_profit,44,3427,www.campbellsville.edu,2.7079E+13,www.campbellsville.edu/financial-aid,www.campbellsville.edu/prospective-students,https://www.campbellsville.edu/apply-now,www.campbellsville.edu/net-price-calculator,14646,12526,13541,13935,14875,17990,No,Yes,Yes,Yes,Yes
Canisius College,49956,49956,80,21,3667,21,27,21 - 27,Buffalo,NY,14208-1098,2001 Main St,-78.851794,42.925319,private_non_profit,68,4181,WWW.Canisius.edu,7168837000,canisius.edu/admissions/financial-aid/,www.canisius.edu/admissions/,www.canisius.edu/admissions/applynow/,https://canisius.studentaidcalculator.com/welcome.aspx,20505,13645,14251,20319,23822,26178,Yes,No,Yes,Yes,Yes
Capella University,,,,,, , , - ,Minneapolis,MN,55402-3389,225 South 6th Street  9th Floor,-93.268714,44.976186,private_for_profit,,35061,www.capella.edu,8882273552,www.capella.edu/tuition-financial-aid/,www.capella.edu/admissions/,portal.capella.edu/appCenter.html,www.capella.edu/tuition-calculator/,14557,14557,,,,,No,No,No,No,No
Capital University,46070,46070,73,27,3665,21,27,21 - 27,Columbus,OH,43209-2394,1 College and Main,-82.937867,39.954875,private_non_profit,59,3494,www.capital.edu,6142366011,www.capital.edu/finaid/,www.capital.edu/Admission/,www.capital.edu/apply-now/,https://capital.studentaidcalculator.com/survey.aspx,22044,19928,20712,21406,22316,23444,Yes,Yes,Yes,Yes,Yes
Capitol Technology University,34772,34772,70,20,383,17,25,17 - 25,Laurel,MD,20708,11301 Springfield Rd,-76.851413,39.047047,private_non_profit,29,793,www.captechu.edu,3013692800,https://mycapitol.captechu.edu/ICS/College_Offices/Financial_Aid_Office/,https://mycapitol.captechu.edu/ICS/Admissions/Home.jnz,https://mycapitol.captechu.edu/ICS/Admissions/Home.jnz?portlet=Apply_Online_2.0,https://mycapitol.captechu.edu/ics/College_Offices/Financial_Aid_Office/NetPrice_Calculators.jnz,20045,15346,18632,21128,21456,23156,No,No,No,No,No
Cardinal Stritch University,40932,40932,83,32,711,19,24,19 - 24,Milwaukee,WI,53217-3985,6801 N Yates Rd,-87.909045,43.139752,private_non_profit,43,3811,www.stritch.edu,4144104000,www.stritch.edu/financialaid/,www.stritch.edu/admissions/,www.stritch.edu/Admissions-and-Financial-Aid/Apply/,www.stritch.edu/estimatemycosts/,17949,15622,14669,18530,18111,21232,No,No,Yes,No,Yes
Careers Unlimited,,,,,, , , - ,Orem,UT,84058,1176 South 1480 West,-111.7314,40.274853,private_for_profit,,177,www.ucdh.edu,8014268234,www.ucdh.edu,www.ucdh.edu,www.ucdh.edu,www.ucdh.edu,,,,,,,No,No,No,No,No
Caribbean University-Bayamon,,,,,, , , - ,Bayamon,PR,00960-0493,167 Ave.  Km 21.2,-66.168171,18.383209,private_non_profit,27,1959,www.caribbean.edu,7.8778E+14,www.caribbean.edu/Asistencia%20Economica.html,www.caribbean.edu/B1_Requisitos_de_admision.html,www.caribbean.edu/B1_Requisitos_de_admision.html,www.caribbean.edu/B7_Net%20Price%20Calcs.html,2652,2525,3574,2974,180,,No,No,No,No,No
Caribbean University-Carolina,,,,,, , , - ,Carolina,PR,985,Calle Ignacio Arzuaga #208,-65.95765,18.38746,private_non_profit,41,657,www.caribbean.edu,7877690007,www.caribbean.edu/Asistencia%20Economica.html,www.caribbean.edu/B1_Requisitos_de_admision.html,,www.caribbean.edu/B7_Net%20Price%20Calcs.html,3348,3296,4041,,,,No,No,No,No,No
Caribbean University-Ponce,,,,,, , , - ,Ponce,PR,00716-7733,AVE. EDNITA NAZARIO #1015,-66.614615,18.012811,private_non_profit,31,1340,www.caribbean.edu,7878402955,www.caribbean.edu/Asistencia%20Economica.html,www.caribbean.edu/B1_Requisitos_de_admision.html,,www.caribbean.edu/B1_Requisitos_de_admision.html,2877,2812,3232,6398,,,No,No,No,No,No
Caribbean University-Vega Baja,,,,,, , , - ,Vega Baja,PR,964,Carr 671 K.M. 5  Sector El Criollo  Bo. Algarrobo,-66.403121,18.444882,private_non_profit,29,530,www.caribbean.edu,7878583668,www.caribbean.edu/Asistencia%20Economica.html,www.caribbean.edu/B1_Requisitos_de_admision.html,,www.caribbean.edu/B7_Net%20Price%20Calcs.html,3666,3564,4634,,,,No,No,No,No,No
Carleton College,64420,64420,23,36,6297,30,33,30 - 33,Northfield,MN,55057-4001,One North College Street,-93.154662,44.462304,private_non_profit,94,2057,www.carleton.edu,5072224000,apps.carleton.edu/campus/sfs/prospective/,apps.carleton.edu/admissions/,apps.carleton.edu/admissions/overview/apply/,https://apps.carleton.edu/admissions/afford/estimator/,32017,11760,11195,16072,22941,39963,Yes,Yes,Yes,Yes,Yes
Carlos Albizu University-Miami,,,35,67,68, , , - ,Miami,FL,33172-2209,2173 N.W.  99th Avenue,-80.355002,25.795162,private_non_profit,39,1000,www.albizu.edu,3055931223,www.albizu.edu/Admissions-and-Aid/Financial-Aid,www.albizu.edu/Admissions-and-Aid,https://apply.albizu.edu/Datatel.ERecruiting.Web.External/Pages/createaccount.aspx?f=9bde66fb-ec91-4fde-8047-8ed3fef58804,www.albizu.edu/NetPriceCalculator/npcalc.htm,25030,22429,25256,27404,,,No,No,No,No,No
Carlos Albizu University-San Juan,,,100,67,9, , , - ,San Juan,PR,00902-3711,151 Tanca St  Corner San Francisco St  Old San Juan,-66.113908,18.466573,private_non_profit,,1063,www.albizu.edu,7.87726E+13,www.albizu.edu/Admissions-and-Aid,www.albizu.edu/Admissions-and-Aid,https://apply.albizu.edu/Datatel.ERecruiting.Web.External/Pages/createaccount.aspx?f=9bde66fb-ec91-4fde-8047-8ed3fef58804,www.albizu.edu/NetPriceCalculator/san_juan/npcalc.htm,,,,,,,No,No,No,No,No
Carlow University,40506,40506,91,34,667,17,22,17 - 22,Pittsburgh,PA,15213-3165,3333 Fifth Ave,-79.963927,40.439851,private_non_profit,56,2201,www.carlow.edu,4125786000,www.carlow.edu/Financial_Aid_and_Scholarships.aspx,www.carlow.edu/Admissions.aspx,https://www.carlow.edu/Apply_to_Carlow.aspx,www.carlow.edu/Net_Price_Calculators.aspx,18099,15016,15583,17563,21021,24206,No,No,Yes,No,Yes
